	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
142	1	5	15512	144.0	235.0	247.0	3000	21469	20079	1390	438.0	438	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	19641	A	236.0	210.0	119	206.0	0	112.0
143	1	5	23097	281.0	278.0	194.0	3000	29484	27590	1894	361.0	361	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	27229	B	210.0	414.0	119	295.0	0	222.0
144	1	5	31012	155.0	443.0	225.0	3000	36235	34503	1732	460.0	460	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	34043	A	294.0	209.0	119	259.0	0	147.0
145	1	5	38363	111.0	234.0	235.0	3000	43445	42125	1320	430.0	430	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	41695	A	229.0	161.0	119	193.0	0	157.0
146	1	5	44973	91.0	336.0	232.0	3000	50198	48725	1473	521.0	521	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	48204	A	262.0	173.0	119	214.0	0	165.0
147	1	5	51928	36.0	178.0	215.0	3000	57039	55826	1213	367.0	367	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	55459	A	252.0	188.0	119	202.0	0	142.0
148	1	5	58870	104.0	268.0	320.0	3000	64603	63154	1449	353.0	353	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	62801	A	257.0	151.0	119	228.0	0	121.0
149	0	5	66338		157.0	165.0	3000	71674	69999	1169	631.0	631	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	69368	A		196.0	119	220.0	0	159.0
150	1	5	73272	243.0	445.0	193.0	3000	78796	76895	1901	391.0	391	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	76504	B	205.0	267.0	119	274.0	0	274.0
151	1	5	80928	372.0	233.0	222.0	3000	86637	84976	1661	517.0	517	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	84459	A	277.0	195.0	119	220.0	0	142.0
152	1	5	88167	186.0	316.0	270.0	3000	93246	91641	1605	443.0	443	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	91198	A	273.0	174.0	119	241.0	0	145.0
153	1	5	94871	306.0	347.0	334.0	3000	100741	98618	2123	416.0	416	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	98202	B	204.0	339.0	119	334.0	0	259.0
154	1	5	102270	155.0	210.0	280.0	3000	107302	105829	1473	428.0	428	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	105401	A	262.0	192.0	119	248.0	0	126.0
155	1	5	108833	180.0	309.0	396.0	3000	114795	113022	1773	458.0	458	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	112564	A	278.0	188.0	119	277.0	0	145.0
156	1	5	116425	930.0	226.0	235.0	3000	122115	119941	2174	385.0	385	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	119556	A	235.0	199.0	119	195.0	0	154.0
157	0	5	124045		402.0	589.0	3000	130903	128140	2256	565.0	565	[2, 3, 4, 1, 4, 2]	[2, 3, 4, 1, 4, 1, 2, 3]	127575	random			119	424.0	0	550.0
158	1	5	131901	231.0	364.0	247.0	3000	137392	135433	1959	401.0	401	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	135032	B	230.0	363.0	119	251.0	0	273.0
159	1	5	139025	147.0	205.0	264.0	3000	144349	142868	1481	412.0	412	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	142456	A	213.0	352.0	119	219.0	0	81.0
160	1	5	145878	145.0	241.0	349.0	3000	151406	149471	1935	561.0	561	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	148910	A	233.0	198.0	119	232.0	0	537.0
161	0	5	153238		334.0	554.0	3000	160271	157384	2021	616.0	616	[4, 1, 2, 3, 2, 1]	[4, 1, 2, 3, 2, 1, 4, 3]	156768	random		365.0	119	354.0	1	414.0
162	1	5	161668	490.0	300.0	291.0	3000	167563	165688	1875	388.0	388	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	165300	A	244.0	218.0	119	184.0	0	148.0
163	0	5	169691		202.0	170.0	3000	175242	173529	1208	407.0	407	[4, 3, 1, 4, 2, 3, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	173122	A		234.0	119	201.0	0	140.0
164	1	5	176236	379.0	316.0	240.0	3000	181795	179987	1808	421.0	421	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	179566	A	351.0	208.0	119	196.0	0	118.0
165	1	5	183425	415.0	330.0	266.0	3000	189433	187555	1878	400.0	400	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	187155	A	218.0	273.0	119	198.0	0	178.0
166	1	5	190967	745.0	337.0	303.0	3000	196805	194577	2228	579.0	579	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	193998	A	236.0	237.0	119	217.0	0	153.0
167	0	5	198837		332.0	370.0	3000	205566	203049	2010	481.0	481	[1, 3, 4, 2, 3, 3]	[1, 3, 4, 2, 3, 2, 1, 4]	202568	random			119	426.0	0	523.0
168	1	5	206966	259.0	252.0	292.0	3000	212439	210648	1791	351.0	351	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	210297	B	258.0	270.0	119	260.0	0	200.0
169	1	5	215175	162.0	231.0	379.0	3000	220363	218822	1541	416.0	416	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	218406	A	207.0	239.0	119	259.0	0	64.0
170	0	5	222096		433.0	414.0	3000	229330	226427	1989	600.0	600	[2, 1, 3, 4, 2]	[2, 1, 3, 4, 2, 4, 1, 3]	225827	random			119	695.0	1	447.0
171	1	5	230626	120.0	336.0	203.0	3000	235376	234055	1321	397.0	397	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	233658	A	220.0	173.0	119	173.0	0	96.0
172	1	5	237209	598.0	181.0	281.0	3000	243035	240709	2326	369.0	369	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	240340	A	359.0	231.0	119	384.0	0	292.0
173	1	5	244871	182.0	225.0	283.0	3000	250545	248957	1588	455.0	455	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	248502	A	296.0	214.0	119	208.0	0	180.0
174	1	5	252775	272.0	237.0	230.0	3000	257880	256256	1624	450.0	450	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	255806	A	279.0	224.0	119	204.0	0	178.0
175	1	6	1125	165.0	253.0	254.0	3000	6211	4761	1450	505.0	505	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	4256	A	283.0	167.0	119	186.0	0	142.0
176	1	6	7842	204.0	304.0	254.0	3000	13157	11410	1747	538.0	538	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	10872	B	220.0	253.0	119	232.0	0	280.0
177	1	6	15290	141.0	173.0	278.0	3000	21726	20397	1329	476.0	476	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	19921	A	190.0	198.0	119	195.0	0	154.0
178	0	6	23355		413.0	322.0	3000	29988	27331	1878	846.0	846	[3, 4, 1, 2, 4, 2]	[3, 4, 1, 2, 4, 2, 1, 3]	26485	random		337.0	119	393.0	1	413.0
179	1	6	31087	118.0	170.0	256.0	3000	36233	35000	1233	382.0	382	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	34618	A	178.0	216.0	119	168.0	0	127.0
180	1	6	38071	146.0	221.0	184.0	3000	42934	41666	1268	363.0	363	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	41303	A	210.0	207.0	119	166.0	0	134.0
181	1	6	44771	216.0	340.0	207.0	3000	50842	49137	1705	435.0	435	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	48702	B	272.0	271.0	119	228.0	0	171.0
