,Unnamed: 0.1,accuracy,block,eight_IKI,five_IKI,four_IKI,max_time,move_offset,move_onset,movement_time,one_IKI,one_RT,pressed,rew_onset,reward,seq_keys,seq_start,sequence,seven_IKI,six_IKI,subject,three_IKI,too_slow,two_IKI
119,119,0,4,,204.0,216.0,1526,278081,276624,952,278.0,278,"[4, 3, 1, 4, 2, 3, 4]",272314,5,"[4, 3, 1, 4, 2, 3, 1, 2]",276346,A,,180.0,105,124.0,0,149.0
0,0,0,5,,192.0,194.0,1770,10328,8327,1007,272.0,272,"[4, 3, 1, 4, 2, 3, 1]",4223,5,"[4, 3, 1, 4, 2, 3, 1, 2]",8055,A,142.0,159.0,105,158.0,1,162.0
1,1,1,5,78.0,151.0,186.0,2163,18492,17272,1220,286.0,286,"[3, 2, 4, 1, 2, 4, 3, 1]",13455,30,"[3, 2, 4, 1, 2, 4, 3, 1]",16986,B,131.0,261.0,105,227.0,0,186.0
2,2,0,5,,365.0,202.0,1770,27765,25769,1167,277.0,277,"[4, 3, 1, 4, 2, 3, 1]",21860,5,"[4, 3, 1, 4, 2, 3, 1, 2]",25492,A,143.0,157.0,105,128.0,1,172.0
3,3,1,5,111.0,229.0,239.0,1770,36955,35694,1261,273.0,273,"[4, 3, 1, 4, 2, 3, 1, 2]",31689,5,"[4, 3, 1, 4, 2, 3, 1, 2]",35421,A,179.0,175.0,105,192.0,0,136.0
4,4,0,5,,,,2163,46482,45457,519,303.0,303,"[3, 2, 1]",41523,30,"[3, 2, 4, 1, 2, 4, 3, 1]",45154,B,,,105,,0,252.0
5,5,1,5,169.0,201.0,209.0,2163,54397,52792,1605,350.0,350,"[3, 2, 4, 1, 2, 4, 3, 1]",48810,10,"[3, 2, 4, 1, 2, 4, 3, 1]",52442,B,203.0,405.0,105,245.0,0,173.0
6,6,1,5,116.0,257.0,251.0,1770,63762,62372,1390,273.0,273,"[4, 3, 1, 4, 2, 3, 1, 2]",58169,10,"[4, 3, 1, 4, 2, 3, 1, 2]",62099,A,193.0,187.0,105,206.0,0,180.0
7,7,1,5,95.0,237.0,216.0,1770,72469,71246,1223,290.0,290,"[4, 3, 1, 4, 2, 3, 1, 2]",67425,30,"[4, 3, 1, 4, 2, 3, 1, 2]",70956,A,178.0,148.0,105,165.0,0,184.0
8,8,1,5,112.0,180.0,247.0,2163,81528,80209,1319,249.0,249,"[3, 2, 4, 1, 2, 4, 3, 1]",76429,5,"[3, 2, 4, 1, 2, 4, 3, 1]",79960,B,130.0,226.0,105,207.0,0,217.0
9,9,1,5,142.0,186.0,182.0,1770,90615,89462,1153,228.0,228,"[4, 3, 1, 4, 2, 3, 1, 2]",84903,30,"[4, 3, 1, 4, 2, 3, 1, 2]",89234,A,182.0,174.0,105,138.0,0,149.0
10,10,1,5,153.0,173.0,195.0,2163,99646,98366,1280,254.0,254,"[3, 2, 4, 1, 2, 4, 3, 1]",93980,5,"[3, 2, 4, 1, 2, 4, 3, 1]",98112,B,167.0,211.0,105,209.0,0,171.0
11,11,1,5,136.0,251.0,207.0,1770,108350,107109,1241,263.0,263,"[4, 3, 1, 4, 2, 3, 1, 2]",102515,5,"[4, 3, 1, 4, 2, 3, 1, 2]",106846,A,190.0,127.0,105,174.0,0,156.0
12,12,1,5,94.0,200.0,295.0,1770,120187,118809,1378,263.0,263,"[4, 3, 1, 4, 2, 3, 1, 2]",112815,10,"[4, 3, 1, 4, 2, 3, 1, 2]",118546,A,172.0,136.0,105,285.0,0,196.0
13,13,1,5,162.0,120.0,225.0,2163,129422,127951,1471,370.0,370,"[3, 2, 4, 1, 2, 4, 3, 1]",123650,10,"[3, 2, 4, 1, 2, 4, 3, 1]",127581,B,213.0,272.0,105,262.0,0,217.0
14,14,1,5,170.0,171.0,249.0,2163,139006,137664,1342,346.0,346,"[3, 2, 4, 1, 2, 4, 3, 1]",132988,5,"[3, 2, 4, 1, 2, 4, 3, 1]",137318,B,171.0,198.0,105,203.0,0,180.0
15,15,1,5,123.0,202.0,190.0,1770,148816,147586,1230,278.0,278,"[4, 3, 1, 4, 2, 3, 1, 2]",142577,5,"[4, 3, 1, 4, 2, 3, 1, 2]",147308,A,213.0,138.0,105,174.0,0,190.0
16,16,1,5,100.0,182.0,176.0,1770,160062,158942,1120,326.0,326,"[4, 3, 1, 4, 2, 3, 1, 2]",153384,30,"[4, 3, 1, 4, 2, 3, 1, 2]",158616,A,153.0,156.0,105,165.0,0,188.0
17,17,1,5,130.0,196.0,175.0,1770,169394,168193,1201,334.0,334,"[4, 3, 1, 4, 2, 3, 1, 2]",164227,10,"[4, 3, 1, 4, 2, 3, 1, 2]",167859,A,185.0,144.0,105,182.0,0,189.0
18,18,1,5,123.0,207.0,162.0,1770,177909,176752,1157,263.0,263,"[4, 3, 1, 4, 2, 3, 1, 2]",172657,10,"[4, 3, 1, 4, 2, 3, 1, 2]",176489,A,174.0,167.0,105,155.0,0,169.0
19,19,0,5,,,,2163,186442,185554,382,251.0,251,"[3, 2, 1]",181671,5,"[3, 2, 4, 1, 2, 4, 3, 1]",185303,B,,,105,,0,208.0
20,20,1,5,121.0,264.0,246.0,2163,194852,193266,1586,265.0,265,"[3, 2, 4, 1, 2, 4, 3, 1]",189370,5,"[3, 2, 4, 1, 2, 4, 3, 1]",193001,B,235.0,285.0,105,215.0,0,220.0
21,21,1,5,104.0,382.0,236.0,2163,203413,201916,1497,258.0,258,"[3, 2, 4, 1, 2, 4, 3, 1]",198127,30,"[3, 2, 4, 1, 2, 4, 3, 1]",201658,B,141.0,172.0,105,255.0,0,207.0
22,22,1,5,95.0,216.0,224.0,2163,212248,210899,1349,279.0,279,"[3, 2, 4, 1, 2, 4, 3, 1]",206789,30,"[3, 2, 4, 1, 2, 4, 3, 1]",210620,B,162.0,195.0,105,240.0,0,217.0
23,23,1,5,118.0,234.0,209.0,1770,220587,219316,1271,259.0,259,"[4, 3, 1, 4, 2, 3, 1, 2]",215526,30,"[4, 3, 1, 4, 2, 3, 1, 2]",219057,A,168.0,166.0,105,191.0,0,185.0
24,24,0,5,,,,2163,229353,227943,905,256.0,256,"[3, 2, 4, 3]",223856,10,"[3, 2, 4, 1, 2, 4, 3, 1]",227687,B,,,105,480.0,0,247.0
25,25,0,5,,290.0,279.0,1770,238592,236607,1358,291.0,291,"[4, 3, 1, 4, 2, 3, 1]",231785,30,"[4, 3, 1, 4, 2, 3, 1, 2]",236316,A,159.0,164.0,105,237.0,1,229.0
26,26,0,5,,206.0,724.0,1770,248421,246417,1457,269.0,269,"[4, 3, 1, 4, 2, 3]",242016,10,"[4, 3, 1, 4, 2, 3, 1, 2]",246148,A,,172.0,105,197.0,1,158.0
27,27,1,5,105.0,160.0,410.0,2163,256723,255239,1484,263.0,263,"[3, 2, 4, 1, 2, 4, 3, 1]",251245,10,"[3, 2, 4, 1, 2, 4, 3, 1]",254976,B,165.0,228.0,105,231.0,0,185.0
28,28,1,5,135.0,165.0,285.0,2163,265522,263897,1625,266.0,266,"[3, 2, 4, 1, 2, 4, 3, 1]",259700,10,"[3, 2, 4, 1, 2, 4, 3, 1]",263631,B,185.0,226.0,105,412.0,0,217.0
29,29,1,5,87.0,499.0,340.0,2163,275075,273394,1681,268.0,268,"[3, 2, 4, 1, 2, 4, 3, 1]",268595,30,"[3, 2, 4, 1, 2, 4, 3, 1]",273126,B,128.0,184.0,105,226.0,0,217.0
