	accuracy	block	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	rew_onset	reward	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
161	1	6	96.0	146.0	165.0	1400	114812	113771	1041	285	285	[3, 2, 4, 1, 2, 4, 3, 1]	108855	30	[3, 2, 4, 1, 2, 4, 3, 1]	113486	A	171.0	141.0	110	146.0	0	176.0
162	0	6		261.0	176.0	1662	124144	122343	1175	364	364	[2, 1, 4, 2, 3, 4, 1]	118448	10	[2, 1, 4, 2, 3, 4, 1, 3]	121979	B	171.0	81.0	110	266.0	1	220.0
163	0	6				1400	131936	131249	182	530	530	[3, 4]	127188	10	[3, 2, 4, 1, 2, 4, 3, 1]	130719	A			110		0	
164	1	6	145.0	191.0	224.0	1662	140529	139344	1185	375	375	[2, 1, 4, 2, 3, 4, 1, 3]	135238	30	[2, 1, 4, 2, 3, 4, 1, 3]	138969	B	131.0	114.0	110	171.0	0	209.0
165	1	6	177.0	189.0	194.0	1662	149741	148644	1097	411	411	[2, 1, 4, 2, 3, 4, 1, 3]	144402	5	[2, 1, 4, 2, 3, 4, 1, 3]	148233	B	117.0	106.0	110	166.0	0	148.0
166	0	6		138.0	161.0	1400	159052	157501	998	354	354	[3, 2, 4, 1, 2, 4, 3]	153616	10	[3, 2, 4, 1, 2, 4, 3, 1]	157147	A	217.0	120.0	110	145.0	1	217.0
167	0	6			161.0	1400	168576	167138	931	458	458	[3, 2, 4, 1, 4]	163148	5	[3, 2, 4, 1, 2, 4, 3, 1]	166680	A			110	147.0	0	180.0
168	0	6		234.0	170.0	1400	178413	176860	860	350	350	[3, 2, 4, 1, 2, 4]	172279	5	[3, 2, 4, 1, 2, 4, 3, 1]	176510	A		132.0	110	152.0	1	172.0
169	0	6		351.0	196.0	1662	188903	187065	1269	327	327	[2, 1, 4, 2, 3, 4, 1]	181806	5	[2, 1, 4, 2, 3, 4, 1, 3]	186738	B	206.0	121.0	110	187.0	1	208.0
170	1	6	90.0	139.0	172.0	1400	197200	196195	1005	325	325	[3, 2, 4, 1, 2, 4, 3, 1]	192338	5	[3, 2, 4, 1, 2, 4, 3, 1]	195870	A	165.0	145.0	110	133.0	0	161.0
171	0	6		172.0	196.0	1400	207271	205750	1010	383	383	[3, 2, 4, 1, 2, 4, 3]	201136	10	[3, 2, 4, 1, 2, 4, 3, 1]	205367	A	163.0	120.0	110	180.0	1	179.0
172	0	6			166.0	1662	217428	216214	710	312	312	[2, 1, 4, 2, 4]	210771	10	[2, 1, 4, 2, 3, 4, 1, 3]	215902	B			110	174.0	0	152.0
173	0	6		220.0	187.0	1662	228065	226441	1034	541	541	[2, 1, 4, 2, 3, 4, 1]	220869	5	[2, 1, 4, 2, 3, 4, 1, 3]	225900	B	103.0	116.0	110	206.0	1	202.0
174	1	6	188.0	219.0	197.0	1662	236919	235678	1241	338	338	[2, 1, 4, 2, 3, 4, 1, 3]	230909	10	[2, 1, 4, 2, 3, 4, 1, 3]	235340	B	54.0	152.0	110	183.0	0	248.0
175	0	6		138.0	169.0	1400	246232	244793	790	464	464	[3, 2, 4, 1, 2, 4]	240297	30	[3, 2, 4, 1, 2, 4, 3, 1]	244329	A		140.0	110	164.0	1	179.0
176	0	6		200.0	163.0	1400	255964	254662	681	601	601	[3, 2, 4, 1, 2]	250229	5	[3, 2, 4, 1, 2, 4, 3, 1]	254061	A			110	156.0	1	162.0
177	1	6	126.0	123.0	143.0	1400	264911	263952	959	351	351	[3, 2, 4, 1, 2, 4, 3, 1]	259370	10	[3, 2, 4, 1, 2, 4, 3, 1]	263601	A	160.0	115.0	110	152.0	0	140.0
178	1	6	144.0	175.0	189.0	1662	273938	272878	1060	396	396	[2, 1, 4, 2, 3, 4, 1, 3]	268751	5	[2, 1, 4, 2, 3, 4, 1, 3]	272482	B	136.0	86.0	110	174.0	0	156.0
179	0	6			803.0	1662	283509	281796	1133	452	452	[2, 1, 4, 2]	277513	30	[2, 1, 4, 2, 3, 4, 1, 3]	281344	B			110	163.0	1	167.0
180	1	7	142.0	266.0	205.0	1662	10006	8785	1221	428	428	[2, 1, 4, 2, 3, 4, 1, 3]	4025	30	[2, 1, 4, 2, 3, 4, 1, 3]	8357	B	166.0	119.0	110	179.0	0	144.0
181	0	7			206.0	1662	19871	18739	625	323	323	[2, 1, 4, 2, 1]	13584	5	[2, 1, 4, 2, 3, 4, 1, 3]	18416	B			110	165.0	0	200.0
182	1	7	38.0	131.0	128.0	1400	28663	27741	922	298	298	[3, 2, 4, 1, 2, 4, 3, 1]	23512	30	[3, 2, 4, 1, 2, 4, 3, 1]	27443	A	175.0	142.0	110	153.0	0	155.0
183	0	7		158.0	122.0	1400	37679	36424	750	296	296	[3, 2, 4, 1, 2, 3]	32498	5	[3, 2, 4, 1, 2, 4, 3, 1]	36128	A			110	156.0	0	148.0
184	0	7		133.0	149.0	1400	46919	45346	846	331	331	[3, 2, 4, 1, 2, 4, 3]	41284	10	[3, 2, 4, 1, 2, 4, 3, 1]	45015	A	39.0	195.0	110	150.0	1	180.0
185	0	7		209.0	478.0	1662	56308	54530	1221	387	387	[2, 1, 4, 2, 3, 4]	50113	5	[2, 1, 4, 2, 3, 4, 1, 3]	54143	B		171.0	110	170.0	1	193.0
186	0	7		140.0	151.0	1400	65039	63762	771	285	285	[3, 2, 4, 1, 2, 3]	59845	10	[3, 2, 4, 1, 2, 4, 3, 1]	63477	A			110	169.0	0	163.0
187	1	7	167.0	181.0	195.0	1662	73378	72275	1103	408	408	[2, 1, 4, 2, 3, 4, 1, 3]	68335	5	[2, 1, 4, 2, 3, 4, 1, 3]	71867	B	62.0	137.0	110	151.0	0	210.0
188	0	7			198.0	1662	82895	81733	658	347	347	[2, 1, 4, 2, 1]	77855	10	[2, 1, 4, 2, 3, 4, 1, 3]	81386	B			110	127.0	0	190.0
189	0	7			223.0	1662	91541	90349	687	377	377	[2, 1, 4, 2, 1]	85741	30	[2, 1, 4, 2, 3, 4, 1, 3]	89972	B			110	152.0	0	187.0
190	1	7	202.0	156.0	155.0	1400	100106	99081	1025	371	371	[3, 2, 4, 1, 2, 4, 3, 1]	94480	30	[3, 2, 4, 1, 2, 4, 3, 1]	98710	A	18.0	183.0	110	167.0	0	144.0
191	0	7		204.0	248.0	1662	110538	108793	1081	420	420	[2, 1, 4, 2, 3, 4, 1]	104641	5	[2, 1, 4, 2, 3, 4, 1, 3]	108373	B	56.0	179.0	110	197.0	1	197.0
192	0	7		180.0	143.0	1400	119218	117606	982	294	294	[3, 2, 4, 1, 2, 4, 3]	113382	30	[3, 2, 4, 1, 2, 4, 3, 1]	117312	A	214.0	164.0	110	156.0	1	125.0
