	Unnamed: 0	accuracy	block	cue_onset	eight_IKI	five_IKI	four_IKI	max_time	move_offset	move_onset	movement_time	one_IKI	one_RT	pressed	seq_keys	seq_start	sequence	seven_IKI	six_IKI	subject	three_IKI	too_slow	two_IKI
117	117	1	5	88056	177.0	211.0	327.0	3000	93136	91452.0	1684.0	365.0	365.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	91087	A	254.0	311.0	111	214.0	0	190.0
118	118	0	5	94766		461.0	942.0	3000	101601	98469.0	2296.0	371.0	371.0	[3, 2, 4, 1, 2, 4]	[3, 2, 4, 1, 2, 4, 3, 1]	98098	B		389.0	111	262.0	1	242.0
119	119	1	5	102596	156.0	192.0	204.0	3000	107377	105975.0	1402.0	248.0	248.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	105727	A	228.0	203.0	111	208.0	0	211.0
120	120	1	5	108905	148.0	211.0	209.0	3000	114450	113032.0	1418.0	396.0	396.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	112636	A	245.0	182.0	111	239.0	0	184.0
121	121	1	5	116082	141.0	264.0	173.0	3000	121028	119560.0	1468.0	347.0	347.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	119213	A	269.0	168.0	111	229.0	0	224.0
122	122	0	5	122955		406.0	346.0	3000	129989	127028.0	2435.0	542.0	542.0	[2, 1, 4, 3, 1, 2, 4]	[2, 1, 4, 3, 1, 2, 4, 3]	126486	random	414.0	340.0	111	409.0	1	520.0
123	123	1	5	130984	437.0	214.0	235.0	3000	136314	134456.0	1858.0	341.0	341.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	134115	B	283.0	249.0	111	211.0	0	229.0
124	124	1	5	137942	135.0	199.0	197.0	3000	143181	141848.0	1333.0	475.0	475.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	141373	A	226.0	191.0	111	233.0	0	152.0
125	125	1	5	144709	125.0	172.0	201.0	3000	149395	148133.0	1262.0	393.0	393.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	147740	A	225.0	177.0	111	207.0	0	155.0
126	126	0	5	151231		368.0	349.0	3000	158271	155382.0	2138.0	614.0	614.0	[1, 3, 4, 2, 3, 1]	[1, 3, 4, 2, 3, 1, 2, 4]	154768	random		416.0	111	472.0	1	533.0
127	127	1	5	159667	125.0	166.0	193.0	3000	164974	163692.0	1282.0	388.0	388.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	163304	A	236.0	169.0	111	211.0	0	182.0
128	128	1	5	167104	129.0	169.0	205.0	3000	172217	170947.0	1270.0	412.0	412.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	170535	A	220.0	180.0	111	194.0	0	173.0
129	129	1	5	173752	101.0	191.0	206.0	3000	178714	177424.0	1290.0	342.0	342.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	177082	A	255.0	163.0	111	212.0	0	162.0
130	130	1	5	180352	115.0	205.0	180.0	3000	185840	184544.0	1296.0	454.0	454.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	184090	A	243.0	166.0	111	236.0	0	151.0
131	131	1	5	187368	108.0	183.0	185.0	3000	192078	190847.0	1231.0	448.0	448.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	190399	A	243.0	165.0	111	193.0	0	154.0
132	132	0	5	194114		427.0	387.0	3000	201350	198330.0	2271.0	486.0	486.0	[3, 2, 4, 1, 4, 2, 1]	[3, 2, 4, 1, 4, 2, 1, 3]	197844	random	414.0	341.0	111	312.0	1	390.0
133	133	1	5	202747	236.0	316.0	253.0	3000	208501	206555.0	1946.0	477.0	477.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	206078	B	490.0	232.0	111	254.0	0	165.0
134	134	1	5	211234	171.0	238.0	149.0	3000	216336	214934.0	1402.0	462.0	462.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	214472	A	282.0	178.0	111	210.0	0	174.0
135	135	0	5	218076		331.0	330.0	3000	225315	222374.0	2180.0	562.0	562.0	[1, 2, 4, 3, 2, 4, 3]	[1, 2, 4, 3, 2, 4, 3, 1]	221812	random	388.0	316.0	111	348.0	1	467.0
136	136	1	5	226611	297.0	196.0	175.0	3000	231601	230132.0	1469.0	490.0	490.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	229642	A	231.0	191.0	111	212.0	0	167.0
137	137	1	5	233436	145.0	174.0	168.0	3000	238246	236982.0	1264.0	415.0	415.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	236567	A	218.0	176.0	111	193.0	0	190.0
138	138	1	5	240073	118.0	197.0	214.0	3000	245492	244205.0	1287.0	495.0	495.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	243710	A	222.0	184.0	111	180.0	0	172.0
139	139	1	5	247720	268.0	172.0	189.0	3000	252583	251198.0	1385.0	447.0	447.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	250751	A	197.0	188.0	111	189.0	0	182.0
140	140	1	6	1116	146.0	277.0	204.0	3000	6173	4588.0	1585.0	341.0	341.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	4247	A	211.0	284.0	111	229.0	0	234.0
141	141	1	6	7803	228.0	124.0	235.0	3000	12883	11208.0	1675.0	375.0	375.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	10833	B	280.0	375.0	111	258.0	0	175.0
142	142	1	6	15031	110.0	175.0	192.0	3000	21398	20108.0	1290.0	439.0	439.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	19669	A	226.0	221.0	111	196.0	0	170.0
143	143	0	6	23041		354.0	344.0	3000	29676	26635.0	2431.0	462.0	462.0	[4, 3, 2, 1, 2, 4, 3]	[4, 3, 2, 1, 2, 4, 3, 1]	26173	random	316.0	396.0	111	373.0	1	648.0
144	144	1	6	30774	96.0	229.0	207.0	3000	35949	34692.0	1257.0	387.0	387.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	34305	A	222.0	149.0	111	190.0	0	164.0
145	145	1	6	37777	97.0	174.0	184.0	3000	42585	41375.0	1210.0	367.0	367.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	41008	A	207.0	185.0	111	186.0	0	177.0
146	146	0	6	44419				3000	50447	48885.0	1057.0	528.0	528.0	[3, 2, 4, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	48357	B			111	303.0	0	204.0
147	147	1	6	51645	113.0	196.0	188.0	3000	56570	55323.0	1247.0	448.0	448.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	54875	A	233.0	186.0	111	193.0	0	138.0
148	148	1	6	59504	52.0	189.0	159.0	3000	64797	63565.0	1232.0	423.0	423.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	63142	A	289.0	185.0	111	215.0	0	143.0
149	149	0	6	66731		435.0	322.0	3000	73664	70886.0	2097.0	725.0	725.0	[1, 3, 4, 2, 4, 3]	[1, 3, 4, 2, 4, 3, 2, 1]	70161	random		376.0	111	475.0	1	489.0
150	150	1	6	75459	81.0	213.0	134.0	3000	80258	78882.0	1376.0	385.0	385.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	78497	A	401.0	183.0	111	202.0	0	162.0
151	151	1	6	81887	183.0	426.0	247.0	3000	87464	85381.0	2083.0	363.0	363.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	85018	B	495.0	359.0	111	194.0	0	179.0
152	152	1	6	89894	132.0	488.0	183.0	3000	95136	93374.0	1762.0	443.0	443.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	92931	A	249.0	310.0	111	202.0	0	198.0
153	153	1	6	96774	141.0	216.0	201.0	3000	101762	100238.0	1524.0	334.0	334.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	99904	A	308.0	190.0	111	274.0	0	194.0
154	154	1	6	103296	122.0	195.0	199.0	3000	108009	106656.0	1353.0	329.0	329.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	106327	A	245.0	185.0	111	176.0	0	231.0
155	155	1	6	109643	114.0	199.0	184.0	3000	115238	113917.0	1321.0	342.0	342.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	113575	A	277.0	177.0	111	195.0	0	175.0
156	156	1	6	116969	119.0	199.0	170.0	3000	121580	120335.0	1245.0	335.0	335.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	120000	A	217.0	196.0	111	184.0	0	160.0
157	157	1	6	123114	94.0	189.0	183.0	3000	127861	126615.0	1246.0	270.0	270.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	126345	A	270.0	171.0	111	160.0	0	179.0
158	158	1	6	129601	108.0	263.0	186.0	3000	134300	132990.0	1310.0	358.0	358.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	132632	A	273.0	155.0	111	178.0	0	147.0
159	159	1	6	135833	87.0	205.0	161.0	3000	140674	139418.0	1256.0	354.0	354.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	139064	A	244.0	183.0	111	190.0	0	186.0
160	160	1	6	142205	76.0	229.0	204.0	3000	146944	145599.0	1345.0	364.0	364.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	145235	A	311.0	198.0	111	136.0	0	191.0
161	161	1	6	148479	461.0	291.0	261.0	3000	153930	151838.0	2092.0	328.0	328.0	[3, 2, 4, 1, 2, 4, 3, 1]	[3, 2, 4, 1, 2, 4, 3, 1]	151510	B	299.0	319.0	111	228.0	0	233.0
162	162	1	6	155557	89.0	209.0	196.0	3000	160200	158932.0	1268.0	344.0	344.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	158588	A	246.0	190.0	111	163.0	0	175.0
163	163	1	6	161728	133.0	203.0	228.0	3000	167287	165824.0	1463.0	364.0	364.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	165460	A	230.0	183.0	111	280.0	0	206.0
164	164	0	6	169018		409.0	186.0	3000	175358	173111.0	1743.0	462.0	462.0	[4, 3, 1, 4, 2, 3, 1, 4]	[4, 3, 1, 4, 2, 3, 1, 2]	172649	A	287.0	297.0	111	219.0	0	146.0
165	165	0	6	176457		379.0	275.0	3000	182308	179875.0	1929.0	387.0	387.0	[3, 2, 4, 1, 2, 4, 3, 2]	[3, 2, 4, 1, 2, 4, 3, 1]	179488	B	285.0	348.0	111	235.0	0	174.0
166	166	0	6	183504			201.0	3000	188188	186857.0	826.0	322.0	322.0	[4, 3, 1, 4, 3]	[4, 3, 1, 4, 2, 3, 1, 2]	186535	A			111	209.0	0	193.0
167	167	1	6	189285	71.0	306.0	191.0	3000	196645	195175.0	1470.0	453.0	453.0	[4, 3, 1, 4, 2, 3, 1, 2]	[4, 3, 1, 4, 2, 3, 1, 2]	194722	A	310.0	250.0	111	219.0	0	123.0
168	168	0	6	198577		391.0	457.0	3000	205211	202195.0	2470.0	487.0	487.0	[3, 4, 2, 1, 2, 4, 1]	[3, 4, 2, 1, 2, 4, 1, 3]	201708	random	422.0	380.0	111	413.0	1	407.0
